Date;rs;rbc;eb
01.01.2005T00:00:00+00:00;2.54;16;0
01.02.2005T00:00:00+00:00;4.27;16;0
01.03.2005T00:00:00+00:00;3.45;16;0
01.04.2005T00:00:00+00:00;2.61;16;0
01.05.2005T00:00:00+00:00;2.43;16;0
01.06.2005T00:00:00+00:00;3.57;16;0
01.07.2005T00:00:00+00:00;4.58;16;0
01.08.2005T00:00:00+00:00;5.98;16;0
01.09.2005T00:00:00+00:00;5.82;16;0
01.10.2005T00:00:00+00:00;2.79;16;0
01.11.2005T00:00:00+00:00;2.51;16;0
01.12.2005T00:00:00+00:00;2.24;16;0
01.01.2006T00:00:00+00:00;2.06;16;0
01.02.2006T00:00:00+00:00;1.91;16;0
01.03.2006T00:00:00+00:00;2.18;16;0
01.04.2006T00:00:00+00:00;2.9;16;0
01.05.2006T00:00:00+00:00;5.02;16;0
01.06.2006T00:00:00+00:00;2.56;16;0
01.07.2006T00:00:00+00:00;5.17;16;0
01.08.2006T00:00:00+00:00;3.66;16;0
01.09.2006T00:00:00+00:00;3.72;16;0
01.10.2006T00:00:00+00:00;2.52;16;0
01.11.2006T00:00:00+00:00;1.85;16;0
01.12.2006T00:00:00+00:00;1.61;16;0
01.01.2007T00:00:00+00:00;1.59;16;0
01.02.2007T00:00:00+00:00;1.52;16;0
01.03.2007T00:00:00+00:00;1.22;16;0
01.04.2007T00:00:00+00:00;1.85;16;0
01.05.2007T00:00:00+00:00;2.32;16;0
01.06.2007T00:00:00+00:00;2.57;16;0
01.07.2007T00:00:00+00:00;4.25;16;0
01.08.2007T00:00:00+00:00;4.54;16;0
01.09.2007T00:00:00+00:00;4.13;16;0
01.10.2007T00:00:00+00:00;3.39;16;0
01.11.2007T00:00:00+00:00;2.05;16;0
01.12.2007T00:00:00+00:00;1.48;16;0
