Date;gr;tmin;tmax;pr;pe
01.01.2000T00:00:00+00:00;0.000294055;23;17;0;0.0021838091
02.01.2000T00:00:00+00:00;0.00354655;25.1;16.9;0;0.0021838091
03.01.2000T00:00:00+00:00;0.004967916;24.5;16.3;0;0.0021838091
04.01.2000T00:00:00+00:00;0.0029449;23.8;18;0;0.0021838091
05.01.2000T00:00:00+00:00;0.0018370646;25.6;20.1;0.0007874;0.0021838091
06.01.2000T00:00:00+00:00;0.0012057668;27.5;20;0;0.0021838091
07.01.2000T00:00:00+00:00;0.0008308108;23.4;19;0.0007874;0.0021838091
08.01.2000T00:00:00+00:00;0.0006013594;25.3;19;0.00098425;0.0021838091
09.01.2000T00:00:00+00:00;0.0004512494;26.9;20;0.001476375;0.0021838091
10.01.2000T00:00:00+00:00;0.0003504588;25.6;20;0.001476375;0.0021838091
11.01.2000T00:00:00+00:00;0.0002799212;27.6;21;0.0007874;0.0021838091
12.01.2000T00:00:00+00:00;0.0002299812;28.1;21;0;0.0021838091
13.01.2000T00:00:00+00:00;0.000190227;24.8;18;0.0007874;0.0021838091
14.01.2000T00:00:00+00:00;0.0001603933;23;18;0.001476375;0.0021838091
15.01.2000T00:00:00+00:00;0.0001383624;28.7;21.2;0;0.0021838091
16.01.2000T00:00:00+00:00;0.0001212935;27.7;16;0;0.0021838091
17.01.2000T00:00:00+00:00;0.0001062203;16.5;12.6;0.0007874;0.0021838091
18.01.2000T00:00:00+00:00;9.33718E-005;15.6;12.4;0.0007874;0.0021838091
19.01.2000T00:00:00+00:00;8.260332E-005;17.4;13;0;0.0021838091
20.01.2000T00:00:00+00:00;7.279576E-005;15.2;12;0;0.0021838091
21.01.2000T00:00:00+00:00;6.492476E-005;13.5;11.9;0.001279525;0.0021838091
22.01.2000T00:00:00+00:00;5.869878E-005;19;12.9;0.000492125;0.0021838091
23.01.2000T00:00:00+00:00;0.0000537;22.9;16;0;0.0021838091
24.01.2000T00:00:00+00:00;4.982794E-005;24.1;17;0;0.0021838091
25.01.2000T00:00:00+00:00;4.628766E-005;18.5;14;0.000295275;0.0021838091
26.01.2000T00:00:00+00:00;4.28793E-005;15.5;12;0;0.0021838091
27.01.2000T00:00:00+00:00;3.981878E-005;15.5;11;0;0.0021838091
28.01.2000T00:00:00+00:00;3.684928E-005;15;10.7;0;0.0021838091
29.01.2000T00:00:00+00:00;3.452648E-005;13.4;12;0;0.0021838091
30.01.2000T00:00:00+00:00;0.000032638;14;11;0.0007874;0.0021838091
31.01.2000T00:00:00+00:00;3.086284E-005;11.8;9;0.0007874;0.0021838091
01.02.2000T00:00:00+00:00;2.922012E-005;17.1;9;0;0.001754019
02.02.2000T00:00:00+00:00;2.776568E-005;19;9.9;0;0.001754019
03.02.2000T00:00:00+00:00;2.658578E-005;21.6;11.5;0;0.001754019
04.02.2000T00:00:00+00:00;2.551554E-005;21.2;14.3;0;0.001754019
05.02.2000T00:00:00+00:00;2.460172E-005;18.9;14;0.000295275;0.001754019
06.02.2000T00:00:00+00:00;2.362176E-005;17;13;0;0.001754019
07.02.2000T00:00:00+00:00;2.285946E-005;17.6;13.5;0;0.001754019
08.02.2000T00:00:00+00:00;2.210826E-005;18.7;14;0;0.001754019
09.02.2000T00:00:00+00:00;0.000021313;18.9;14;0;0.001754019
10.02.2000T00:00:00+00:00;2.053026E-005;19.5;14.4;0;0.001754019
11.02.2000T00:00:00+00:00;1.989144E-005;19.6;14.7;0.0007874;0.001754019
12.02.2000T00:00:00+00:00;1.9296296E-005;23.7;17.5;0;0.001754019
13.02.2000T00:00:00+00:00;1.8615086E-005;28;18.4;0;0.001754019
14.02.2000T00:00:00+00:00;1.78948E-005;23.2;18;0.0007874;0.001754019
15.02.2000T00:00:00+00:00;1.7255944E-005;19.3;15;0;0.001754019
16.02.2000T00:00:00+00:00;1.667761E-005;16.8;13;0.000492125;0.001754019
17.02.2000T00:00:00+00:00;1.6044568E-005;15.5;12.9;0.002066925;0.001754019
18.02.2000T00:00:00+00:00;1.5474554E-005;19.3;14.9;0.001279525;0.001754019
19.02.2000T00:00:00+00:00;1.4958662E-005;22;16.7;0.001476375;0.001754019
20.02.2000T00:00:00+00:00;1.4347744E-005;28;16;0.0007874;0.001754019
21.02.2000T00:00:00+00:00;1.3765608E-005;17.3;15.4;0.002066925;0.001754019
22.02.2000T00:00:00+00:00;1.3213714E-005;19.7;15.3;0.00374015;0.001754019
23.02.2000T00:00:00+00:00;1.260623E-005;20;14;0.00098425;0.001754019
24.02.2000T00:00:00+00:00;1.1953704E-005;16.3;12.8;0.001476375;0.001754019
25.02.2000T00:00:00+00:00;1.1464786E-005;17;12.5;0.001279525;0.001754019
26.02.2000T00:00:00+00:00;1.0944702E-005;14.9;11;0.00255905;0.001754019
27.02.2000T00:00:00+00:00;1.0457586E-005;12.3;10;0.002066925;0.001754019
28.02.2000T00:00:00+00:00;9.914462E-006;15;9.3;0.00374015;0.0019197015
29.02.2000T00:00:00+00:00;9.445754E-006;12.1;9.6;0.013877925;0.0019197015
01.03.2000T00:00:00+00:00;9.069252E-006;12.3;9.3;0.00098425;0.0019197015
02.03.2000T00:00:00+00:00;8.704408E-006;17;10.8;0.0007874;0.0019197015
03.03.2000T00:00:00+00:00;8.263088E-006;19.4;13.8;0.0007874;0.0019197015
04.03.2000T00:00:00+00:00;7.899518E-006;22;16.5;0.001279525;0.0019197015
05.03.2000T00:00:00+00:00;7.630668E-006;23.4;18.7;0.0007874;0.0019197015
06.03.2000T00:00:00+00:00;0.000007352;25.5;19.5;0.0007874;0.0019197015
07.03.2000T00:00:00+00:00;7.10065E-006;25.6;19;0;0.0019197015
08.03.2000T00:00:00+00:00;6.858352E-006;22.4;19;0;0.0019197015
09.03.2000T00:00:00+00:00;6.631452E-006;20.5;18;0.0090551;0.0019197015
10.03.2000T00:00:00+00:00;6.39105E-006;20.8;18;0.003051175;0.0019197015
11.03.2000T00:00:00+00:00;6.13978E-006;19;15;0.007578725;0.0019197015
12.03.2000T00:00:00+00:00;5.872388E-006;20.6;15;0.001476375;0.0019197015
13.03.2000T00:00:00+00:00;5.596186E-006;22;16.2;0.00098425;0.0019197015
14.03.2000T00:00:00+00:00;5.355364E-006;24.5;18.4;0.0007874;0.0019197015
15.03.2000T00:00:00+00:00;0.000005162;25;19.8;0;0.0019197015
16.03.2000T00:00:00+00:00;4.925338E-006;26.5;19;0.00098425;0.0019197015
17.03.2000T00:00:00+00:00;4.65927E-006;19.8;18;0.000295275;0.0019197015
18.03.2000T00:00:00+00:00;4.423612E-006;20.5;18.4;0.003051175;0.0019197015
19.03.2000T00:00:00+00:00;4.232352E-006;21;19;0.0027559;0.0019197015
20.03.2000T00:00:00+00:00;4.009712E-006;22;19.6;0.003051175;0.0019197015
21.03.2000T00:00:00+00:00;3.798856E-006;25.8;21;0.0007874;0.0019197015
22.03.2000T00:00:00+00:00;3.679256E-006;26.4;21.9;0;0.0019197015
23.03.2000T00:00:00+00:00;3.515892E-006;26.7;19;0.001476375;0.0019197015
24.03.2000T00:00:00+00:00;0.00000337;20;18;0.0007874;0.0019197015
25.03.2000T00:00:00+00:00;3.234334E-006;19.5;16;0;0.0019197015
26.03.2000T00:00:00+00:00;3.089794E-006;22.1;16.9;0.0007874;0.0019197015
27.03.2000T00:00:00+00:00;2.969736E-006;27.1;17;0;0.0019197015
28.03.2000T00:00:00+00:00;2.837086E-006;29.2;18.4;0;0.0019197015
29.03.2000T00:00:00+00:00;2.703928E-006;31;17;0;0.0019197015
30.03.2000T00:00:00+00:00;2.541156E-006;29.4;19.5;0;0.0022563977
31.03.2000T00:00:00+00:00;2.408634E-006;27.9;21;0.001476375;0.0022563977
01.04.2000T00:00:00+00:00;2.337274E-006;31.1;23;0;0.0022563977
02.04.2000T00:00:00+00:00;2.256258E-006;31.8;24;0;0.0022563977
03.04.2000T00:00:00+00:00;2.179234E-006;28;22;0;0.0022563977
04.04.2000T00:00:00+00:00;2.119778E-006;26.1;20;0.0007874;0.0022563977
05.04.2000T00:00:00+00:00;2.06337E-006;26.2;20;0;0.0022563977
06.04.2000T00:00:00+00:00;1.998549E-006;24.8;20;0;0.0022563977
07.04.2000T00:00:00+00:00;1.951636E-006;22.3;19;0.001476375;0.0022563977
08.04.2000T00:00:00+00:00;1.8921802E-006;24.6;20;0.0027559;0.0022563977
09.04.2000T00:00:00+00:00;1.8240592E-006;28.1;21.9;0;0.0022563977
10.04.2000T00:00:00+00:00;1.7785436E-006;26;20.6;0.0027559;0.0022563977
11.04.2000T00:00:00+00:00;1.740454E-006;23.5;21;0.00610235;0.0022563977
12.04.2000T00:00:00+00:00;1.673114E-006;29.5;22;0.0007874;0.0022563977
13.04.2000T00:00:00+00:00;1.6168766E-006;28.5;23;0.007775575;0.0022563977
14.04.2000T00:00:00+00:00;1.5836462E-006;31.3;23;0.0007874;0.0022563977
15.04.2000T00:00:00+00:00;0.000001527;25.2;19;0.0070866;0.0022563977
16.04.2000T00:00:00+00:00;1.482486E-006;24.8;19;0.0007874;0.0022563977
17.04.2000T00:00:00+00:00;1.4444012E-006;27.8;20.1;0;0.0022563977
18.04.2000T00:00:00+00:00;1.4113824E-006;30.6;22;0;0.0022563977
19.04.2000T00:00:00+00:00;1.3625696E-006;31.7;23.5;0;0.0022563977
20.04.2000T00:00:00+00:00;1.3346562E-006;30.8;25;0;0.0022563977
21.04.2000T00:00:00+00:00;1.3007574E-006;29.1;24;0.00098425;0.0022563977
22.04.2000T00:00:00+00:00;1.278195E-006;31.5;25;0.0007874;0.0022563977
23.04.2000T00:00:00+00:00;1.2408758E-006;31.8;23;0.0007874;0.0022563977
24.04.2000T00:00:00+00:00;1.2100576E-006;32.9;25;0;0.0022563977
25.04.2000T00:00:00+00:00;0.000001191;34.9;24;0.03681095;0.0022563977
26.04.2000T00:00:00+00:00;1.1671364E-006;33.5;21;0.0027559;0.0022563977
27.04.2000T00:00:00+00:00;1.1390862E-006;23.9;20;0.0842518;0.0022563977
28.04.2000T00:00:00+00:00;0.000032378;28.4;21;0.002066925;0.0022563977
29.04.2000T00:00:00+00:00;4.688862E-005;32.8;24;0.000492125;0.0030433891
30.04.2000T00:00:00+00:00;7.912922E-005;33.6;25;0;0.0030433891
01.05.2000T00:00:00+00:00;0.0001316017;34.6;25;0;0.0030433891
02.05.2000T00:00:00+00:00;0.0001771373;32.1;23;0;0.0030433891
03.05.2000T00:00:00+00:00;0.0002108896;32.1;23;0;0.0030433891
04.05.2000T00:00:00+00:00;0.0002149042;32.6;24;0;0.0030433891
05.05.2000T00:00:00+00:00;0.0001995243;31.9;25;0;0.0030433891
06.05.2000T00:00:00+00:00;0.0001729929;33.4;24;0.00098425;0.0030433891
07.05.2000T00:00:00+00:00;0.0001472723;32.3;25;0.0007874;0.0030433891
08.05.2000T00:00:00+00:00;0.0001258993;34.5;25;0.0007874;0.0030433891
09.05.2000T00:00:00+00:00;0.0001086243;35.3;24;0;0.0030433891
10.05.2000T00:00:00+00:00;9.527182E-005;33.6;24;0.000295275;0.0030433891
11.05.2000T00:00:00+00:00;8.395124E-005;32.1;22;0;0.0030433891
12.05.2000T00:00:00+00:00;7.45664E-005;28.6;23;0.0188976;0.0030433891
13.05.2000T00:00:00+00:00;6.66157E-005;29.7;23;0.001476375;0.0030433891
14.05.2000T00:00:00+00:00;0.000059225;31.4;23;0.000492125;0.0030433891
15.05.2000T00:00:00+00:00;5.24792E-005;31.6;25;0.0027559;0.0030433891
16.05.2000T00:00:00+00:00;4.700878E-005;32.5;22;0.001476375;0.0030433891
17.05.2000T00:00:00+00:00;4.238908E-005;25;21;0.028051125;0.0030433891
18.05.2000T00:00:00+00:00;3.830962E-005;25.5;22;0.0055118;0.0030433891
19.05.2000T00:00:00+00:00;3.477994E-005;28.1;21;0.0007874;0.0030433891
20.05.2000T00:00:00+00:00;3.165114E-005;29;18;0;0.0030433891
21.05.2000T00:00:00+00:00;2.880894E-005;22.8;19;0.005807075;0.0030433891
22.05.2000T00:00:00+00:00;2.656382E-005;27;20.9;0.000492125;0.0030433891
23.05.2000T00:00:00+00:00;2.458758E-005;30.4;22.2;0.00177165;0.0030433891
24.05.2000T00:00:00+00:00;2.28535E-005;30.7;25;0;0.0030433891
25.05.2000T00:00:00+00:00;2.113338E-005;35.4;24;0.0007874;0.0030433891
26.05.2000T00:00:00+00:00;0.000019634;38;27;0;0.0030433891
27.05.2000T00:00:00+00:00;1.8486824E-005;36;24;0;0.0030433891
28.05.2000T00:00:00+00:00;1.7398058E-005;33.8;23;0;0.0030433891
29.05.2000T00:00:00+00:00;1.6316228E-005;32.6;23;0.028247975;0.0030433891
30.05.2000T00:00:00+00:00;1.536342E-005;34;24.3;0.011909425;0.0030893209
31.05.2000T00:00:00+00:00;1.4449164E-005;32.5;25;0;0.0030893209
01.06.2000T00:00:00+00:00;1.3626402E-005;33.8;24;0.003051175;0.0030893209
02.06.2000T00:00:00+00:00;1.2768546E-005;31.6;24;0.01161415;0.0030893209
03.06.2000T00:00:00+00:00;0.000017685;32.7;24;0.01870075;0.0030893209
04.06.2000T00:00:00+00:00;1.4920132E-005;33.8;24;0;0.0030893209
05.06.2000T00:00:00+00:00;1.4056456E-005;34.3;26;0;0.0030893209
06.06.2000T00:00:00+00:00;1.3021408E-005;35.9;26;0;0.0030893209
07.06.2000T00:00:00+00:00;1.3007498E-005;35.1;24;0.002066925;0.0030893209
08.06.2000T00:00:00+00:00;1.2810906E-005;35.2;23;0.0007874;0.0030893209
09.06.2000T00:00:00+00:00;1.2681508E-005;34.2;26;0;0.0030893209
10.06.2000T00:00:00+00:00;1.3473866E-005;35.7;26;0;0.0030893209
11.06.2000T00:00:00+00:00;1.376758E-005;33.1;21;0.004035425;0.0030893209
12.06.2000T00:00:00+00:00;1.321067E-005;28.7;21;0.0188976;0.0030893209
13.06.2000T00:00:00+00:00;1.294732E-005;26.4;22;0.00374015;0.0030893209
14.06.2000T00:00:00+00:00;1.2938118E-005;28.4;22.8;0.0007874;0.0030893209
15.06.2000T00:00:00+00:00;1.2643572E-005;29.8;23;0;0.0030893209
16.06.2000T00:00:00+00:00;1.1748432E-005;28.9;23;0.00098425;0.0030893209
17.06.2000T00:00:00+00:00;1.0969278E-005;30.2;23;0;0.0030893209
18.06.2000T00:00:00+00:00;1.0198924E-005;32.9;24.9;0.0007874;0.0030893209
19.06.2000T00:00:00+00:00;9.601518E-006;34.6;25;0;0.0030893209
20.06.2000T00:00:00+00:00;9.084052E-006;33.9;24;0;0.0030893209
21.06.2000T00:00:00+00:00;8.554848E-006;33.1;25;0.00374015;0.0030893209
22.06.2000T00:00:00+00:00;8.110458E-006;35.6;24;0;0.0030893209
23.06.2000T00:00:00+00:00;7.740676E-006;35.4;24.5;0.0330708;0.0030893209
24.06.2000T00:00:00+00:00;7.442574E-006;34.2;24;0;0.0030893209
25.06.2000T00:00:00+00:00;0.000007152;33.4;23;0.003051175;0.0030893209
26.06.2000T00:00:00+00:00;1.7373812E-005;31.6;24.3;0.03562985;0.0030893209
27.06.2000T00:00:00+00:00;0.000048312;31.4;24;0.010137775;0.0030893209
28.06.2000T00:00:00+00:00;8.852388E-005;32.7;25;0.004035425;0.0030893209
29.06.2000T00:00:00+00:00;0.0001258698;34.1;25;0.0007874;0.003005718
30.06.2000T00:00:00+00:00;0.0001404556;34.6;25;0;0.003005718
01.07.2000T00:00:00+00:00;0.0001457148;34.9;26;0;0.003005718
02.07.2000T00:00:00+00:00;0.0001326281;34.4;27;0;0.003005718
03.07.2000T00:00:00+00:00;0.0001149791;35.1;27;0;0.003005718
04.07.2000T00:00:00+00:00;9.905212E-005;34.5;26;0;0.003005718
05.07.2000T00:00:00+00:00;8.56186E-005;36.2;27;0;0.003005718
06.07.2000T00:00:00+00:00;7.288552E-005;35.5;27.9;0;0.003005718
07.07.2000T00:00:00+00:00;6.291806E-005;36.5;26;0;0.003005718
08.07.2000T00:00:00+00:00;5.39882E-005;35.3;25;0.02775585;0.003005718
09.07.2000T00:00:00+00:00;0.000047239;34.6;25;0.0188976;0.003005718
10.07.2000T00:00:00+00:00;0.000041262;34.5;24;0.0007874;0.003005718
11.07.2000T00:00:00+00:00;3.592248E-005;33;25;0.010334625;0.003005718
12.07.2000T00:00:00+00:00;3.153974E-005;31.8;24.3;0;0.003005718
13.07.2000T00:00:00+00:00;2.788344E-005;32.1;25;0.00610235;0.003005718
14.07.2000T00:00:00+00:00;2.478656E-005;33.6;25;0;0.003005718
15.07.2000T00:00:00+00:00;2.215522E-005;34;24;0.00098425;0.003005718
16.07.2000T00:00:00+00:00;1.9809522E-005;34.6;24;0;0.003005718
17.07.2000T00:00:00+00:00;1.786294E-005;33.1;25.2;0.00452755;0.003005718
18.07.2000T00:00:00+00:00;0.000016114;37.4;27;0;0.003005718
19.07.2000T00:00:00+00:00;1.4648466E-005;32.6;24;0;0.003005718
20.07.2000T00:00:00+00:00;1.3331936E-005;30.8;24;0.025492075;0.003005718
21.07.2000T00:00:00+00:00;1.2746314E-005;29.6;22;0.007775575;0.003005718
22.07.2000T00:00:00+00:00;9.428908E-005;29.1;23;0.031791275;0.003005718
23.07.2000T00:00:00+00:00;0.0007614138;28.9;24;0.0437007;0.003005718
24.07.2000T00:00:00+00:00;0.002547464;32.3;24;0.005019675;0.003005718
25.07.2000T00:00:00+00:00;0.00216602;34.5;26;0.0007874;0.003005718
26.07.2000T00:00:00+00:00;0.0014578404;35;26;0;0.003005718
27.07.2000T00:00:00+00:00;0.000994034;35.4;27;0;0.003005718
28.07.2000T00:00:00+00:00;0.0006206348;35.4;26;0.0007874;0.003005718
29.07.2000T00:00:00+00:00;0.0003921992;35.5;26;0;0.003005718
30.07.2000T00:00:00+00:00;0.0002712436;32;24;0;0.0026167042
31.07.2000T00:00:00+00:00;0.0002013456;33.8;22;0.00610235;0.0026167042
01.08.2000T00:00:00+00:00;0.0001544389;33.9;26;0.002066925;0.0026167042
02.08.2000T00:00:00+00:00;0.0001228859;32.6;26.7;0.004822825;0.0026167042
03.08.2000T00:00:00+00:00;9.934232E-005;33.1;27;0;0.0026167042
04.08.2000T00:00:00+00:00;0.000195976;29.1;23;0.049704625;0.0026167042
05.08.2000T00:00:00+00:00;0.0004807282;31.4;24;0;0.0026167042
06.08.2000T00:00:00+00:00;0.0004566068;28.8;25;0.00255905;0.0026167042
07.08.2000T00:00:00+00:00;0.0003756372;28.4;24;0.01437005;0.0026167042
08.08.2000T00:00:00+00:00;0.0003310736;31.1;24.7;0.004035425;0.0026167042
09.08.2000T00:00:00+00:00;0.0003536048;33.5;25.8;0;0.0026167042
10.08.2000T00:00:00+00:00;0.000324243;34.6;27;0;0.0026167042
11.08.2000T00:00:00+00:00;0.0002941912;35.7;27;0;0.0026167042
12.08.2000T00:00:00+00:00;0.0002430996;35.8;28;0;0.0026167042
13.08.2000T00:00:00+00:00;0.0002040092;36.4;27;0;0.0026167042
14.08.2000T00:00:00+00:00;0.0001756508;35.7;27;0;0.0026167042
15.08.2000T00:00:00+00:00;0.0001515573;33.8;27;0;0.0026167042
16.08.2000T00:00:00+00:00;0.0001307439;32;27;0;0.0026167042
17.08.2000T00:00:00+00:00;0.0001133386;30.8;24;0.00098425;0.0026167042
18.08.2000T00:00:00+00:00;0.0001003051;31.6;25;0.046161325;0.0026167042
19.08.2000T00:00:00+00:00;8.731718E-005;34.5;25;0;0.0026167042
20.08.2000T00:00:00+00:00;7.634252E-005;34.6;25.9;0;0.0026167042
21.08.2000T00:00:00+00:00;6.686112E-005;35.5;25;0;0.0026167042
22.08.2000T00:00:00+00:00;8.968324E-005;32.5;25;0.0287401;0.0026167042
23.08.2000T00:00:00+00:00;0.0001055918;34.5;25;0.000492125;0.0026167042
24.08.2000T00:00:00+00:00;0.0001615836;35.1;25;0.0070866;0.0026167042
25.08.2000T00:00:00+00:00;0.0001595197;34.1;26;0.00098425;0.0026167042
26.08.2000T00:00:00+00:00;0.0001278292;33.9;27;0;0.0026167042
27.08.2000T00:00:00+00:00;0.0001143689;34;25;0;0.0026167042
28.08.2000T00:00:00+00:00;0.0002034274;33;24.6;0.032775525;0.0026167042
29.08.2000T00:00:00+00:00;0.0004676408;34.3;27;0;0.0026167042
30.08.2000T00:00:00+00:00;0.0008222712;33.7;27;0;0.0028641732
31.08.2000T00:00:00+00:00;0.000678175;34.7;27;0;0.0028641732
01.09.2000T00:00:00+00:00;0.0005195128;34.7;26;0.0007874;0.0028641732
02.09.2000T00:00:00+00:00;0.0003851036;34.3;26;0;0.0028641732
03.09.2000T00:00:00+00:00;0.000284456;31.1;25;0.0007874;0.0028641732
04.09.2000T00:00:00+00:00;0.0002137506;30;25;0.0007874;0.0028641732
05.09.2000T00:00:00+00:00;0.0001642795;33.5;25;0.0007874;0.0028641732
06.09.2000T00:00:00+00:00;0.0001303613;34.3;26;0;0.0028641732
07.09.2000T00:00:00+00:00;0.0001064519;32;24;0.00610235;0.0028641732
08.09.2000T00:00:00+00:00;8.894348E-005;30.7;23;0;0.0028641732
09.09.2000T00:00:00+00:00;0.000075311;32.2;25.2;0;0.0028641732
10.09.2000T00:00:00+00:00;6.466726E-005;29;25;0.0027559;0.0028641732
11.09.2000T00:00:00+00:00;5.64581E-005;29.6;25;0.000295275;0.0028641732
12.09.2000T00:00:00+00:00;4.979492E-005;30.7;25.9;0.0007874;0.0028641732
13.09.2000T00:00:00+00:00;0.00004423;31.8;24;0;0.0028641732
14.09.2000T00:00:00+00:00;3.973662E-005;32.8;21;0;0.0028641732
15.09.2000T00:00:00+00:00;3.610852E-005;33.1;20;0;0.0028641732
16.09.2000T00:00:00+00:00;3.310512E-005;33.1;21;0;0.0028641732
17.09.2000T00:00:00+00:00;3.026916E-005;32.3;23;0;0.0028641732
18.09.2000T00:00:00+00:00;2.770238E-005;32.3;23;0;0.0028641732
19.09.2000T00:00:00+00:00;2.560742E-005;31.8;24;0;0.0028641732
20.09.2000T00:00:00+00:00;2.38776E-005;30.1;24;0;0.0028641732
21.09.2000T00:00:00+00:00;2.240738E-005;32;23;0.0007874;0.0028641732
22.09.2000T00:00:00+00:00;2.109136E-005;32;25;0;0.0028641732
23.09.2000T00:00:00+00:00;1.9853928E-005;33.4;24;0.001476375;0.0028641732
24.09.2000T00:00:00+00:00;1.8789532E-005;33.8;25;0;0.0028641732
25.09.2000T00:00:00+00:00;0.000017844;31.8;26;0;0.0028641732
26.09.2000T00:00:00+00:00;1.6801924E-005;28.8;24;0.006791325;0.0028641732
27.09.2000T00:00:00+00:00;1.5928218E-005;30.1;24;0.003051175;0.0028641732
